suite,benchmark,shape,generated,ops_per_second,error_99_9_percent,bytes_per_op,forks,warmup_iterations,measurement_iterations
DecodePathsBenchmark,string,simple,false,2231519.767,174264.773,461.941,2,3,5
DecodePathsBenchmark,string,scalars,false,690084.997,43986.435,871.916,2,3,5
DecodePathsBenchmark,string,complex,false,194364.072,19305.312,4059.780,2,3,5
DecodePathsBenchmark,string,repeated,false,41863.937,3079.420,17688.711,2,3,5
DecodePathsBenchmark,string,maps,false,33477.921,2449.192,28622.224,2,3,5
DecodePathsBenchmark,string,timestamps,false,1611840.221,110065.615,640.004,2,3,5
DecodePathsBenchmark,string,struct,false,232457.392,19496.861,6752.956,2,3,5
DecodePathsBenchmark,string,deep,false,838448.284,60864.861,939.892,2,3,5
DecodePathsBenchmark,string,any,false,297909.207,31314.315,1953.633,2,3,5
DecodePathsBenchmark,string,simple,true,2601996.986,151595.382,394.061,2,3,5
DecodePathsBenchmark,string,scalars,true,736740.253,47225.258,871.916,2,3,5
DecodePathsBenchmark,string,complex,true,243348.780,15891.504,3794.523,2,3,5
DecodePathsBenchmark,string,repeated,true,51523.927,2597.280,15266.605,2,3,5
DecodePathsBenchmark,string,maps,true,35214.481,3617.744,25029.904,2,3,5
DecodePathsBenchmark,string,timestamps,true,1932108.476,274383.826,584.004,2,3,5
DecodePathsBenchmark,string,struct,true,224083.842,39682.783,6712.936,2,3,5
DecodePathsBenchmark,string,deep,true,1223081.411,68730.794,701.295,2,3,5
DecodePathsBenchmark,string,any,true,296669.913,14123.410,1945.634,2,3,5
DecodePathsBenchmark,utf8,simple,false,2196824.451,188305.876,461.941,2,3,5
DecodePathsBenchmark,utf8,scalars,false,671444.906,46638.349,871.917,2,3,5
DecodePathsBenchmark,utf8,complex,false,196813.650,21668.319,4067.779,2,3,5
DecodePathsBenchmark,utf8,repeated,false,39192.499,2203.203,17688.741,2,3,5
DecodePathsBenchmark,utf8,maps,false,32919.696,3471.432,28622.023,2,3,5
DecodePathsBenchmark,utf8,timestamps,false,1670284.522,82251.391,640.004,2,3,5
DecodePathsBenchmark,utf8,struct,false,228029.904,15731.970,6752.951,2,3,5
DecodePathsBenchmark,utf8,deep,false,838073.633,104923.743,939.891,2,3,5
DecodePathsBenchmark,utf8,any,false,287503.795,31933.412,1953.632,2,3,5
DecodePathsBenchmark,utf8,simple,true,2540896.730,292121.762,394.061,2,3,5
DecodePathsBenchmark,utf8,scalars,true,712964.537,71234.056,871.916,2,3,5
DecodePathsBenchmark,utf8,complex,true,231231.829,28628.365,3794.525,2,3,5
DecodePathsBenchmark,utf8,repeated,true,48876.379,4991.126,15266.254,2,3,5
DecodePathsBenchmark,utf8,maps,true,36361.341,1847.765,25029.600,2,3,5
DecodePathsBenchmark,utf8,timestamps,true,2098529.720,112293.336,584.003,2,3,5
DecodePathsBenchmark,utf8,struct,true,221508.474,16970.575,6712.864,2,3,5
DecodePathsBenchmark,utf8,deep,true,1187632.361,79038.929,701.295,2,3,5
DecodePathsBenchmark,utf8,any,true,288416.027,11761.196,1913.633,2,3,5
EncodePathsBenchmark,complexCodegenUtf16,,,427190.314,75745.321,1449.931,2,3,5
EncodePathsBenchmark,complexCodegenUtf8,,,489564.425,39686.645,1409.929,2,3,5
EncodePathsBenchmark,complexReflectionUtf16,,,235901.716,13503.145,1385.943,2,3,5
EncodePathsBenchmark,complexReflectionUtf8,,,264365.225,21935.363,1329.942,2,3,5
EncodePathsBenchmark,complexTypedUtf16,,,437648.810,35176.559,1345.930,2,3,5
EncodePathsBenchmark,complexTypedUtf8,,,436874.448,31337.896,1321.930,2,3,5
EncodePathsBenchmark,mapCodegenUtf16,,,68378.734,5651.070,4673.579,2,3,5
EncodePathsBenchmark,mapCodegenUtf8,,,66297.051,9585.522,4649.522,2,3,5
EncodePathsBenchmark,mapReflectionUtf16,,,32059.695,1452.100,7682.230,2,3,5
EncodePathsBenchmark,mapReflectionUtf8,,,31511.335,3873.132,7658.142,2,3,5
EncodePathsBenchmark,mapTypedUtf16,,,47850.190,7059.597,4889.601,2,3,5
EncodePathsBenchmark,mapTypedUtf8,,,56486.921,4028.095,4781.588,2,3,5
EncodePathsBenchmark,simpleCodegenUtf16,,,5006721.432,636125.816,295.540,2,3,5
EncodePathsBenchmark,simpleCodegenUtf8,,,6813099.882,717059.351,271.540,2,3,5
EncodePathsBenchmark,simpleReflectionUtf16,,,2083463.875,186617.242,340.027,2,3,5
EncodePathsBenchmark,simpleReflectionUtf8,,,2223684.982,168284.052,316.027,2,3,5
EncodePathsBenchmark,simpleTypedUtf16,,,3948435.619,455147.914,295.541,2,3,5
EncodePathsBenchmark,simpleTypedUtf8,,,4609666.252,340379.370,271.541,2,3,5
EncodePathsBenchmark,structCodegenUtf16,,,341110.857,21662.571,959.107,2,3,5
EncodePathsBenchmark,structCodegenUtf8,,,365010.124,29545.890,823.404,2,3,5
EncodePathsBenchmark,structReflectionUtf16,,,375295.669,26179.616,735.704,2,3,5
EncodePathsBenchmark,structReflectionUtf8,,,342459.192,23838.419,823.408,2,3,5
EncodePathsBenchmark,structTypedUtf16,,,336504.419,20516.781,959.106,2,3,5
EncodePathsBenchmark,structTypedUtf8,,,370748.152,57553.281,823.405,2,3,5
EncodePathsBenchmark,timestampCodegenUtf16,,,2785797.800,209376.105,463.971,2,3,5
EncodePathsBenchmark,timestampCodegenUtf8,,,3319643.297,330100.949,439.971,2,3,5
EncodePathsBenchmark,timestampReflectionUtf16,,,1540090.799,114583.922,463.973,2,3,5
EncodePathsBenchmark,timestampReflectionUtf8,,,1792010.215,107409.534,439.973,2,3,5
EncodePathsBenchmark,timestampTypedUtf16,,,2219255.674,141854.782,463.972,2,3,5
EncodePathsBenchmark,timestampTypedUtf8,,,2632325.368,356969.103,439.971,2,3,5
